№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
6188,7279 ВЕ от 16.02.2023г до 16.01.2033г бланк №000394,"Ала-Арчинское месторождение скважины №9357 (17568-Д),10112,10113, и 10114","ИП ""Рыскулуев Женишбек Имашевич""","Чуйская область, Аламудунский,Ыссык-Атинский,Сокулукский районы",№1 от 16.02.23г до 16.02.25г,ППВ ,ЕП,6 м³/сут,"К-43-41,42",приказ от 16.02.23г №35-п,"г.Бишкек,мкр.Аламедин-1,д.32,кв.25",гр.КР Рыскулуев Ж.И.-100%,1290535030000564 №61200131 13.04.2023г ,6819 сом ,,,ИНН 20905197000658,13456100   13471400   13456700   13481950,4747900   4756500   4749100   4749150,Кыргызстан,Аннулирована. протокол №64-Н-2023 от 23.10.2023г,Рыскулуев Женишбек Имашевич,"0770-005455, 0772-367890",Ала-Арча,,,,,,,,
6189,7280 ВЕ от 16.02.2023г до 16.01.2033г бланк №000395,Кантская плащадь скважины №10115 и 10120,"ИП ""Рыскулуев Женишбек Имашевич""","Чуйская область, Ыссык-Атинский район",№1 от 16.02.23г до 16.02.25г,ППВ ,ЕП,4 м³/сут,К-43-42,приказ от 16.02.23г №35-п,"г.Бишкек,мкр.Аламедин-1,д.32,кв.25",гр.КР Рыскулуев Ж.И.-100%,1290535030000564 №61200133 13.04.2023г ,4546 сом ,,,ИНН 20905197000658,13488600   13491150  ,4751900  4750900,Кыргызстан,Аннулирована. протокол №64-Н-2023 от 23.10.2023г,Рыскулуев Женишбек Имашевич,0772-367890,Кант,,,,,,,,
6190,7281 ВЕ от 16.02.2023г до 16.01.2033г бланк №000396,Кочкорская впадина скважина №10116,"ИП ""Рыскулуев Женишбек Имашевич""","Нарынская область, Кочкорский район",№1 от 16.02.23г до 16.02.25г,ППВ ,ЕП,3 м³/сут,К-43-68,приказ от 16.02.23г №35-п,"г.Бишкек,мкр.Аламедин-1,д.32,кв.25",гр.КР Рыскулуев Ж.И.-100%,1290535030000564 №61200136 13.04.2023г ,3410 сом ,,,ИНН 20905197000658,13565200,4677300,Кыргызстан,Аннулирована. протокол №64-Н-2023 от 23.10.2023г,Рыскулуев Женишбек Имашевич,"0770-005455, 0772-367890",Кочкор,,,,,,,,
6191,7282 ВЕ от 16.02.2023г до 16.01.2033г бланк №000397,Токмакское месторождение скважины №9621(17636-Д)10117 и 10118,"ИП ""Рыскулуев Женишбек Имашевич""","Чуйская область, Ыссык-Атинский район",№1 от  16.02.23г до 16.02.25г,ППВ ,ЕП,3 м³/сут,"К-43-42, 43",приказ от 16.02.23г №35-п,"г.Бишкек,мкр.Аламедин-1,д.32,кв.25",гр.КР Рыскулуев Ж.И.-100%,1290535030000564 №61200137 13.04.2023г ,3410 сом ,,,ИНН 20905197000658,13525250   13505100   13499500,4746400   4750600   4751900,Кыргызстан,Аннулирована. протокол №64-Н-2023 от 23.10.2023г,Рыскулуев Женишбек Имашевич,0772-367890,Токмак,,,Кабинет Министров Кыргызской Республики ,КР,без указаний сведений,"проспект Чынгыза Айтматова, 301",100%,нет
6192,7283 ВЕ от 16.02.2023г до 16.01.2033г бланк №000398,"Центрально-Чуйское месторождение скважины №3077 502-Д),9784,9785 и 9786","ИП ""Рыскулуев Женишбек Имашевич""","Чуйская область, Московский, Сокулукский районы ",№1 от 16.02.23г до 16.02.25г,ППВ ,ЕП,13 м³/сут,К-43-41,приказ от 16.02.23г №35-п,"г.Бишкек,мкр.Аламедин-1,д.32,кв.25",гр.КР Рыскулуев Ж.И.-100%,1290535030000564 №61200139 13.04.2023г ,14774 сом ,,,ИНН 20905197000658,13440950   13448500   13427100   13418500   ,4744600   4748250   4745050   4745800,Кыргызстан,Аннулирована.протокол №64-Н-2023 от 23.10.2023г,Рыскулуев Женишбек Имашевич,0772-367890,Чуй,,,,,,,,
6193,7284 ВЕ от 16.02.2023г до 16.01.2033г бланк №000399,Западно-Чуйское месторождение скважина №8794 (23) и 9669 (1Б-13),"Государственное предприятие  ""Кара-Балтинский спиртовый завод""","Чуйская область, Жайылский районы ",№2 от 28.04.2025г до 16.01.2033г,ППВ ,ЕП,6720 м³/сут,К-43-40,Приказ от 16.02.23г №35-п     Протокол №17-Н-2025 от 26.03.2025г,"Чуйская область,Жайылский район,г. Кара-Балта,ул.Кожомбердиева,88а",КМ КР-100%,нет,нет,,1299245030000596 №338400010 20.02.2023г ,ИНН 02102200010047,13405870   13405877   ,4742700   4742700,Кыргызстан,ВЕ,Ибраев Аман Жумагулович ,"0554-225514, 0555-444637",Чуй,,Бенефициары,,,,,,
6194,7285 ВЕ от 16.02.2023г до 16.01.2033г бланк №000400,Ала-Арчинское месторождение скважины №10462 (1) и 10523 (2),"ОсОО ""Кок-Жар таза суу""","Чуйская область, Аламудунский район ",№2 от 10.05.23 г до 16.01.33 г ,ППВ ,ЕР,500 м³/сут,К-43-42,приказ от 16.02.2023г №35-п,"г.Бишкек, мкр.6,д.29, кв.25",гр.КР Жунусов М.Ш.-50% и Жолдошева Н.Ж.-50%,нет,нет,,1299055030000512   №317800048   20.02.2023г ,ИНН 02111202210090,13471650   13471600 ,4744350   4744300,Кыргызстан,ВЕ,Абибила кызы Асел ,0555-152501,Ала-Арча,,,Юсупова  Шаркуль Кадыркуловна,КР,руководитель,тел:0700677873  kalpak95@bk.ru,100%,
6195,7286 ВЕ от 24.02.2023г до 24.01.2033г бланк №000401,Западно-Чуйское месторждение скважины №29 (2) и 175 (62),"ОсОО ""БИО КВАС""","Чуйская область, Жайылский район ",№2  от 31.07.2023 г. до 24.01.2033 г,ППВ,ЕР,475м3/сут,К-43-40,приказ от 16.02.23г №35-п ЛС № 2 протокол №44-Н-23 от 12.07.23г ,"г.Бишкек, ул. Льва Толстого 9",гр.КР Сыйданов С.К.-100% ,,,,1299005950003055 № 77800148 от 09.03.2023 г,ИНН 00804200510185,13409480   13409475  ,4748800  4748750,Кыргызстан,ВЕ,Сыйданова С.Т.,708555565,Жайылский а/а,,,Юсупова  Шаркуль Кадыркуловна,"гражданка КР, ID 1037043 МКК 211011 от 22.01.2019г",руководитель,"тел:0700677873, 0508588994 почта: kalpak95@bk.ru",100%,2025г
6196,7287 ВЕ от 24.02.2023г до 24.01.2033г бланк №000402,Тонгское (Боконбаевское) месторождение скважина №6461 (1275) ,"Крестьянское хозяйство ""Калпак""","Иссык-Кульская область, Тонский район ",№2 от 11.04.25г до 24.01.2033г ,Минерально-термальная вода,ЕП,240 м³/сут,К-43-71,приказ от 16.02.23г №35-п     Протокол №14-Н-2025 от 12.03.2025г,"Иссык-Кульская обл.,Тонский р-н.,с.Боконбаево, ул.Кожобековой 75",гр.КР Юсупова Ш.К.-100%,"ОАО ""РСК Банк"" 1290525030000580 код ОКПО 20959934 от 31.05.2023г ","211,680,00 сом",,1299145030000562 ОКПО 20959934 24.02.2023г,ИНН 01311199510152,1366800,4673000,Кыргызстан,ВЕ,Юсупова Ш.К.,"0772-165463,0500-165463,0700-677873",Тон,,Бенефициары,,,,,,
6197,7288 ВЕ от 24.02.2023г до 24.01.2033г бланк №000403,Токмакское месторождение скважина №10493,"ОсОО ""Агро-Аква-Сервис""","Чуйская область, Ысык-Атинский район ",№ 3 от 20.02.2024г до 24.02.2028г ,ППВ ,ЕР,15 м³/сут,К-43-43,приказ от 16.02.23г №35-п ЛС № 3 протокол от 05.02.24г г № 06-Н-2024г ,"Чуйская обл., Ысык-Атинский р-н.,с.Кен-Булун ,ул.Ленина,д.17",гр.КР Ибраимов К.О.-100%,1170856755500131 ОКПО 31429151 19.05.2023г,17200 сом ,,1290095030000589 №337300113 21.02.2023г ,ИНН 03004202210020,13504950,4752800,Кыргызстан,ВЕ,Ибраимов Кыргызбай Оморжанович,0555-991308,Токмак,,,,,,,,
6198,7289 СЕ от 24.02.2023г до 24.02.2033г бланк №000406,"Площадь ""Южный Сары-Камыш"" месторождения Ташкумырское ","ОсОО ""БекСтрой Инжиниринг""","Джалал-Абадская область, Ноокенский район ",№ 2 от 28.03.2024г до 24.02.2025г ,Каменный уголь ,ЕП,"0,83 га ",К-43-97,протокол №11-Н-2023 от 17.02.2023г ЛС №2 протокол №16-Н-2024 от 20.03.2024г ,"КР г.Бишкек, Первомайский р-н,ул.Раззакова,22,38 ",гр.КР Эсенбекова В.Э.-100%,1299005950003055         ОКПО      30726096(не видно) от 02.03.2023г. 1290535950003027        ОКПО     30726088 от 07.03.2024г.,2710 с    2772 с,,Айыл Банк 1350122997572709 №2092 от 27.02.2023г ,ИНН  02907202010252;,4579766   4579733   4579762   4579713   4579710   4579718   4579741   ,13274203   13274430   13274503   13274498   13274406   13274392   13274175,Кыргызстан,Аннулирована.протокол № 13-Н-2025 от 5.03.2025г,Эсенбекова В.Э.,557275727,Нет Гипрозем,,Бенефициар,Даврушина Елена Алексеевна,КР,без указаний сведений,"г.Бишкек,ул. Чуй,д-34,кв-52",100%,2023
6199,7290 ВЕ от 25.02.2023г до 25.01.2033г бланк №000413,Центрально-Чуйское месторождение скважина №10478,"ОсОО ""АТС групп""","Чуйская область, Сокулукский район ",№ 1 от 25.02.23г до 25.02.25г,ППВ ,ЕП,20 м³/сут,К-43-41,приказ от 25.02.23г №40-П,"Чуйская обл.,Сокулукский р-н.,с.Сокулук,ул.Бакыт,д.9",гр.КР Эгимбаев Р.А.-50% и гр.РФ Дашкин И.Я.-50%,нет,нет,,1293045030000525 №288500012 28.02.2023г,ИНН 00704201410140,13441500,4745150,Кыргызстан/Россия,ВЕ,Дженалиев  Дайырбек Туратбекович,0505-400008,Чуй,,,,,,,,
6200,7291 ВЕ от 25.02.2023г до 25.01.2033г бланк №000412,Центрально-Чуйское месторождение скважина №10051(3-У),"ОсОО ""Инвестиционно-финансовая компания Инфико""","Чуйская область, Сокулукский район ",№2 от 14.04.2025г до 25.01.2033г ,ППВ ,ЕП,242 м³/сут,К-43-41,приказ от 25.02.23г №40-п   Протокол №14-Н-2025 от 12.03.2025г,"Чуйская обл.,Сокулукский р-н.,с.Сокулук,ул.Советская,д. 101",гр.КР Даврушева Е.А.-100%,"ЗАО ""Демир Кыргыз Интернэшнл Банк"" 4403051001000933 от 18.10.2023г","5682,30 сом",,1299005950005378  №275100069   13.03.2023г ,ИНН 02908202210240,13440900   ,4745250,Кыргызстан,ВЕ,Воронина Елена Николаевна ,0551-680489,Чуй,,Бенефициары,,,,,,
6201,7292 ВЕ от 25.02.2023г до 25.01.2033г бланк №000411,Центрально-Чуйское месторождение скважина №2583 (369-д),"ОсОО ""Агроцентр Ак-Суу""","Чуйская область, Московский  район ",№ 2 от 31.07.2023г до 25.01.2033г ,ППВ ,ЕР,9 м³/сут,К-43-41,"приказ от 25.02.23г №40-П,  ЛС №2 Протокол №44-Н-2023 от 12.07.2023г ","Чуйская обл.,Московский р-н.,с.Ак-Суу,ул.Промзона 6",гр.КР Пархачев В.В.-100%,1290055030000556  №3497000063  17.03.2023г,10229 сом ,,1299235030000515  №100100083  16.02.2023г,ИНН 03006202210017,13428750,4744420,Кыргызстан,ВЕ,Пархачев В.В.,0555-911119,Чуй,,,,,,,,
6202,7293 ВЕ от 25.02.2023г до 25.01.2033г бланк №000410,Чоктал-Ананьевское месторождение скважина №1858 (445-Д),"ИП ""Эшалиев Мурадил Сагыналиевич"" ","Иссык-Кульская область, Иссык-Кульский район",№ 1 от  25.02.23г до 25.02.25г,ППВ ,ЕП,10 м³/сут,К-43-41,приказ от 25.02.23г №40-П,"г.Бишкек ул. Раззакова,д.2 кв.111",гр КР Эшалиев Мурадил Сагыналиевич-100% ,1290195030000526 №370700177 24.04.2023г ,11380 сом ,,1290045030000572 №283500132 27.02.2023г ,ИНН 20308196300599,13428750,4744420,Кыргызстан,ВЕ,Эшалиев Мурадил Сагыналиевич,"0555-124455,",Чоктал-Ананьевск,,,"1.ООО Промышленная компанияя Внутренней монголии ""Иньши     (Входит 8 ООО)",КНР ,руководитель  Тиан Дацзы.,Юр адрес Чуйская область  Аламудунский  с Кок-жар ул Алапаева №12,.100%          ,".Без указания сведений,"
6203,7294 АР от 27.02.23 до 27.06.26г бланк №000414,"площадь ""Центральный Шорбулак""","ОсОО ""Кирекс оф минералс""","Баткенская область, Кадамжайский район ",№ 1 27.02.23 до 27.06.26г,Золото,Р,"684,2 га",J-42-11,протокол №18-Н-2022 от 27.06.2022г ,"г.Бишкек ул. Токтогула, 160, 3-этаж, офис 5","Компания ""Jasper Gold Corp""",,,,1290525950003043  №273700042  01.03.23г,ИНН 0020821610271,53 точки,53 точки,Кыргызстан,Аннулирована.протокол №35-Н-2023 от 19.05.2023г ,,,,,, Тиан Дацзы.,КНР ,,Юр адрес Чуйская область  Аламудунский  с Кок-жар ул Алапаева №12,.100%          ,".Без указания сведений,"
6204,7295 АЕ от 27.02.2023 г.  до 27.02.2043 г Бланк №000415,"месторождение ""Каматор""","ОсОО ""Кемин Ресурс Групп""","Чуйская область, Кеминский район",№ 5 от 30.05.2025г до 27.02.2043г ,Золото и серебро,ЕП,800 га,К-43-45,"протокол №03-Н-2023 от 17.01.2023г ЛС №3 протокол №02 от 17.01.2024г., Протокол №13-Н-2025 от 05.03.2025г   Протокол №23-Н-2025 от 25.04.2025г","Чуйская область, Кеминский район,с.Ак-Тюз,ул.Вавилова,9/1","гр.КНР ООО ""Хайнань Хуаяо-Цзиньбао Горнодобывающее Управление"" - 100%-100%",1092209908630157 №183 от.26.04.2023 г.1092209908630157 № 184 от. 26.04.2023 г . 1092209908630157 №185 от.26.04.2023 г 1092209908630157 №155 от. 11.03.2023 г. 1092209908630157 №157 от. 11.03.2023 г. 1092209908630157 №158 от.11.03.2023г 1290525950003043 №,"94477,19 с  109123,36 с 509959,20 с 709176,98 с 4520069,22  8718654,14",ОАО Элдик Банк  счет №1290523130482118 от 08.10.2025 остаток составляет 637301сом,1092209908630157   ОКПО 29352429   01.03.2023г ,ИНН 00507202110228,16 точек ,16 точек ,КНР,АЕ,Тиан Дацзы,нет,"Ак-Тюзский а/а,Дуйшеевский а/а,Кок-Ойрокский а/а",,Бенефициар, Тиан Дацзы.,КНР ,,Юр адрес Чуйская область  Аламудунский  с Кок-жар ул Алапаева №12,.100%          ,".Без указания сведений,"
6205,7296 АЕ от 27.02.2023 до 27.02.2043г бланк №000416,"месторождение ""Долпран""","ОсОО ""Кемин Ресурс Групп""","Чуйская область, Кеминский район",№ 5 от 30.05.2025г до 27.02.2043г ,"Золото, серебро и медь ",ЕП,394 га ,К-43-45,"ЛС №1 пр. №03-Н-2023 от 17.01.2023г ЛС №3 ПР.02-Н-2024 от 17.01.2024г., Протокол №13-Н-2025 от 05.03.2025г   Протокол №23-Н-2025 от 25.04.2025г","Чуйская область, Кеминский район,с.Ак-Тюз,ул.Вавилова,9/1","гр.КНР ООО ""Хайнань Хуаяо-Цзиньбао Горнодобывающее Управление"" - 100%-100%",1290525030000580  №201100519 27.09.2021г  ,"27774 сом, 52895 сом, 4344 сом",ОАО Элдик Банк  счет №1290523130482219 от 08.10.2025 остаток составляет 500000сом,1092209908630157   ОКПО 29352429   01.03.2023г ,ИНН 00507202110228,13 точек ,13 точек ,КНР ,АЕ,Тиан Дацзы,"0555-000213, 0550-707302",Чон-Кеминский а/а,,Бенефициар,,,,,,
6206,7297 АР пер. 27.02.2023 от 29.03.2024г до 17.01.2027г бланк №000411,"""Курбанбулакская"" площадь ","ОсОО ""Курбан-Тоо""","Ошская область, Ноокатский и Араванский районы ",№4 от 27.06.2025г до 17.01.2027г,Золото,РР,683 га ,К-43-121,протокол №16-Н-2024 от 20.03.2024г №3 ЛС Протокол №76-Н-2024 от 12.12.2024г;           Протокол № 30-Н-2025 от 25.06.2025г,"г.Бишкек,ул.Исанова,д.33,кв.126","ОсОО ""Загара майнинг"" - 1%, ОсОО ""Кинцайд Тяньшань""-99%.",1091220060860171  ОКПО 29395551  28.12.2016г ,367418-89 сом ,,Айыл Банк 1351000256323252 от 03.04.2024г ,ИНН 02402202310495,32 точки,32 точки,Кыргызстан,АР,Ван Хайюань,"0551-88-10-99,002-459,0700-22-99-04",Кыргызата а/о,,,,,,,,
6207,7298 АР пер. 27.02.2023г от 19.06.2025г до 17.01.2027г   Бланк №000922,"""Сланцевый Клин"" площадь ","ОсОО ""Антимон Эксплорер""","Баткенская область, Кадамжайский район ",№5 от 19.06.2025г до 17.01.2027г,"золото, серебро, медь,вольфрам.",РР,977 га ,К-42-144,ЛС №4 Протокол №76-Н-2024 от 12.12.2024г.          Протокол № 28-Н-2025 от 04.06.2025г,"КР.г.Бишкек, ул.Разакова 15, 2-Этаж, офис-6;","ОсОО ""Кадамжай Ресурс""-50%, ОсОО ""Ичкетоо Ресурс-45% , ОсОО ""Кинцайд Тяньшань""-5%",1190011000291376  ОКПО 29765901  13.07.2017г         ОАО МБАНК кв.№ Р0910035129130 от 10.09.2025г,"31777-55 сом      9 625,00 сом",,Айыл Банк 1351000256323252 ОКПО 31823066 от 03.04.2024г ,ИНН 02502202310561,16 точек,16 точек,Кыргызстан,АР,Ван Хайюань,"0551-88-10-99,002-459,0700-22-99-05",Марказ а/а,,Бенефициар,1.Алиакбаров  улуу Адилет                             2.Мусаев Кубаныч Гарынбекович ,гр.КР ,"Без указания сведений,",г.Бишкек ул.Исанова д.33 кв.126                          тел:0700 229-904           ,1.50%                         2.50%                ,2/19/2024
6208,7299 АР пер. 27.02.2023г от 29.03.2024г до 19.01.2027г бланк №000410,"площадь ""Бардамбот""","ОсОО ""Ак-Тор Компани""""","Джалал-Абадская и Нарынская область, Тогуз-Тороуский,Токтогульский и Джумгальский районы ",№ 3 от 29.03.2024г до 27.02.2025г  ,"золото, серебро, свинец, цинк, медь и молибден ",РП,405 га,К-43-88; К-43-76; К-43-89  ,протокол №16-Н-2024 от 20.03.2024г ,"г.Бишкек,ул.Исанова,д.33,кв.126","ОсОО ""Кадамжай Ресурс""-50%, ОсОО ""Ичкетоо Ресурс-50% ",1091220058660190  ОКПО 29752169  28.12.2016г ,2355284-88 сом,,Айыл Банк 1351000256323252 ОКПО 31822517 от 03.04.2024г ,ИНН 02502202310149,11 точек ,11 точек ,Кыргызстан,Аннулирована.протокол №62-Н-2024 от 09.10.2024г,Бериков А.С.,"0555-75-0195,002-459,0700-22-99-04",Кара-Сууйский а/а,,,,,,,,
6209,7300 АР пер. 27.02.2023г от 29.03.2024г до 17.01.2027г бланк №000412,"площадь ""Чатырман-Чаувай""","ОсОО ""Ак-Тор Компани""""","Баткенская область, Кадамжайский район ",№ 5 от 26.03.2025г до 17.01.2027г.,"Золото, серебро,медь, свинец,вольфрам,  ртуть,сурьма",РП,"680,7 га",К-43-133,"ЛС №4 Протокол №76-Н-2024 от  12.12.2024г., Протокоол №14-Н-2024 от 12.03.2025г","г.Бишкек, ул.Раззкова, д.16.кв.6","ОсОО ""Кадамжай Ресурс""-25%, ОсОО ""Ичкетоо Ресурс-75% ",1091220058660190  ОКПО 29752169  28.12.2016г ,207206-76сом ,,Айыл Банк 1351000256323252 ОКПО 31822517 от 03.04.2024г ,ИНН 02502202310149,76 точек ,76 точек,Кыргызстан,АР,Ван Хайюань,"0555-75-0195,002-459,0700-22-99-05",Учкоргон а/о,,Бенефициар,,,,,,
6210,7301 АР пер. 27.02.2023г от 29.03.2024г до 17.01.2027г бланк №000413,"""Ходжагаирская"" площадь","ОсОО ""Курбан-Тоо""","Баткенская область, Кадамжайский район ",№ 3 от 29.03.2024г до 27.02.2025г  ,"Золото, серебро, свинец, медь и ртуть",РП,420 га ,К-43-144,ЛС №3 протокол №16-Н-2024 от 20.03.2024г ,"г.Бишкек,ул.Исанова,д.33,кв.126","ОсОО ""Кадамжай Ресурс""-50%, ОсОО ""Ичкетоо Ресурс-50% ",1091220060860171  ОКПО 29395551  ,99269-72 сом,,Айыл Банк 1351000256323252 ОКПО 31822345 от 03.04.2024г ,ИНН 02402202310495,13238434   13238254   13241480   13241967   13240062   ,4451182   4452312   4453018   4452646   4451115,Кыргызстан,Аннулирована. протокол 62-н-24 от 09.10.24,Бериков А.С.,"0552-200-214,",Масалиевский а/а,,,Кенжебаев Самарбек Омурбекович ,КР ,директор,"КР Ошская обл.,Кара-Сууйский р-н,Мадинский а/а,ул.Э.Асанова,д.17",100%/100%,2023г
6211,7302 АР пер. 27.02.2023г от 29.03.2024г до 17.01.2027г бланк №000414,"""Арпалыкская"" площадь","ОсОО ""Курбан-Тоо""","Баткенская область, Кадамжайский район ",№ 3 от 29.03.2024г до 27.02.2025г  ,"Золото, серебро, свинец, медь и ртуть",РП,"74,5 г",К-43-133,ЛС №3 протокол №16-Н-2024 от 20.03.2024г ,"г.Бишкек,ул.Исанова,д.33,кв.126","ОсОО ""Кадамжай Ресурс""-50%, ОсОО ""Ичкетоо Ресурс-50% ",1190011000291378  код 0401060  23.03.2023г ,8146 сом,,Айыл Банк 1351000256323252 ОКПО 31822345 от 03.04.2024г ,ИНН 02402202310495,13252583   13252602   13252472   13252640   13253182   13253169  ,4451098   4451702   4452046   4452403   4452252   4451120,Кыргызстан,Аннулирована. протокол 62-н-24 от 09.10.24,Бериков А.С.,нет,Майдан а/о,,,,,,,,
6212,7303 СЕ пер.27.02.23г 17.03.2025г до 27.01.43г бланк №000827,"участок ""Центральный""буроугольный месторождения Загара ","ОсОО ""Дарбаза Таш""","Ошская область,Кара-Сууйский район",№4 от 28.08.2025г до 27.01.2043г,Бурый уголь ,ЕР,"18,45 га ",J-43-3,"протокол №13-Н-2023 от 22.02.2023г. ЛС №2 протокол №63-Н-2024 от 11.10.2024г., Протокол №12-Н-2025 от 26.02.2025г;                  Протокол № 39-Н-2025 от 13.08.2025г ","Ошская область, Кара-Сууйский район, ,с.Бешмойнок ","ОсОО ""Дарбаза-Таш"" являются гр. КР Садирбек уулу Каныбек -10%,      гр КНР Чжанг Цзиюань-90%",,,ОАО Айыл Банк кв.№1103/CAS/9 от 26.09.2025г   16 800 сом,,ИНН 02901202510269;,4429994   4430157 4430058  4430223   4430021   4429928   4430223  4429746,13348409  13348681  13348403   13348889  13348409   13348951   13348527  13348697,Кыргызстан,СЕ,Чжанг Цзюань ,0707-588688,,Выдать ЛС на проведение работ Пр.      №63-Н-24 от 11.10. 24г ,Бенефициар в деле №7303 СЕ ,Кенжебаев Самарбек Омурбекович ,КР ,директор,"КР Ошская обл.,Кара-Сууйский р-н,Мадинский а/а,ул.Э.Асанова,д.17",100%/100%,2023г
6213,7304 СЕ от 27.02.23г до 27.01.43г бланк №000433,"участок ""Чал-Куйрук"" буроугольного месторождения Загара ","ОсОО ""Чырак-Жол ЛТД""","Ошская область,Кара-Сууйский район",№3 от 28.08.2025г до 27.11.2043г,Бурый уголь ,ЕП,31.73 га ,J-43-3,протокол №13-Н-2023 от 22.02.2023г. ЛС №2 протокол №63-Н-2024 от 11.10.2024г;                           Протокол № 39-Н-2025 от 13.08.2025г,"Ошская область, Кара-Сууйский район, а.а.Нариман,с.Бешмойнок ",1. гр. КР Садирбек уулу Каныбек -10%;               2. гр. КНР жэнь Цзинбао -90%      ,,,ОАО Айыл Банк кв.№1103/CAS/10 от 26.09.2025г        37 200 сом,,ИНН 01102202210382;,4429892   4430115   4430058   4429994   4429746   4429412,13347843   13348139   13348403   13348409   13348697   13348231,Кыргызстан,СЕ,Жэнь Цзиньбао,0707-588689,,Выдать ЛС на проведение работ Пр.      №63-Н-24 от 11.10. 24г ,Бенефициар,1. Шарабидин уулу Арстанбек; 2. Ыманаалиев Нурбек Ыманаалиевич; 3. Турдукулов Сапарбек Аманович ,1. КР; 2. КР; 3. КР ,1 генеральный директор (без полного указания сведений) ,"Джалал-Абадская обл.Сузакский р-н,с.Мундуз,ул.Маматкулова Камчыбека,3 ; 2. Джалал-Абадская обл.,г.Таш-Кумыр,пгт.Шамалды-Сай,ул.Железнодорожная,д.1; 3. Джалал-Абадская обл.Сузакский р-н,г/с Подгорное,ул.Молдошев Назир,д.№б/н",1. 45%/45%; 2. 10%/10%; 3. 45%/45% ,2024г 
6214,7305 СЕ от 27.02.23г до 27.01.43г бланк №000434,Участок Западный буроугольного месторождения Минкуш ,"ОсОО ""РАЗРЕЗ МИН-КУШ""","Нарынская область, Жумгальский район",№1 от  27.02.23г до 27.02.25г ,Бурый уголь ,Е,"5,1 га ",К-43-77,протокол №13-Н-2023 от 22.02.2023г,"КР Нарынская обл.,Жумгальский р-н,с.Мин-Куш ул.Капсаланова д.10",гр.КР Токтосунова Жылдыз Токтоназарова-100%,,,,,ИНН 01504201510015;,4615732   4615749   4615554   4615541,13457101   13457380  13457356  13457101,Кыргызстан,Аннулирована. Протокол №13-Н-2025 от 05.03.2025г ,,,,,,1. Шарабидин уулу Арстанбек; 2. Ыманаалиев Нурбек Ыманаалиевич; 3. Турдукулов Сапарбек Аманович ,1. КР; 2. КР; 3. КР ,1 генеральный директор (без полного указания сведений) ,"Джалал-Абадская обл.Сузакский р-н,с.Мундуз,ул.Маматкулова Камчыбека,3 ; 2. Джалал-Абадская обл.,г.Таш-Кумыр,пгт.Шамалды-Сай,ул.Железнодорожная,д.1; 3. Джалал-Абадская обл.Сузакский р-н,г/с Подгорное,ул.Молдошев Назир,д.№б/н",1. 45%/45%; 2. 10%/10%; 3. 45%/45% ,2024г 
6215,7306 СЕ от 27.02.23г до 27.01.43г бланк №000435,"Участок ""Кен-Сай"" Ташкумырского каменноугольного месторождения ","ОсОО ""Пери Булак""","Джалал-Абадская область, Аксыйский район",№1 от  27.02.23г до 27.02.25г ,Каменный уголь ,ЕП,10.64 га ,К-43-85,протокол №13-Н-2023 от 22.02.2023г,"г.Бишкек,пер.Фабричный, 13",гр.КР Отунчиев Самат Ооматбекович-100%,1299005950003055          ОКПО 28628639 от 17.02.2023г. 1299005950003055       ОКПО 28628639 от 13.04.2023 ,4858 с    22118 с,,,ИНН 0180201410230;,4598389  4598473  4597748  4597682  ,13270949   13271044  13271535   13271435,Кыргызстан,СЕ, Отунчиев Самат Ооматбекович,312341925,Аксыйский р-н,,,Тилешов Майрамбек Ердембаевич 2. Мамазакир уулу Эрнст ,1. КР;       2. КР ,без указания сведений ,"КР г.Бишкек,ул.Абдырахманова,д.9/1,кв.2;  2. Ошская обл.,Ноокатский р-н,с.Өсөр,ул.Өсөр,д.100",1.50%/50%;             2.50%/50%,2022г 
